pmid,label,sentence
18519692_2008.ann,1," Intriguingly, the ZKSCAN3 protein was also expressed in tumors wild-type for genes (APC, p53, K-Ras) commonly targeted in colorectal cancer."
18519692_2008.ann,1," Intriguingly, the ZKSCAN3 protein was also expressed in tumors wild-type for genes (APC, p53, K-Ras) commonly targeted in colorectal cancer."
21679465_2011.ann,1, Notch-1 and Notch-4 are potent breast oncogenes that are overexpressed in triple-negative and other subtypes of breast cancer.
21679465_2011.ann,1, Notch-1 and Notch-4 are potent breast oncogenes that are overexpressed in triple-negative and other subtypes of breast cancer.
7478622_1995.ann,1," Surprisingly, given the proposed role for loss of function mutations of the p53 gene in the development of human colorectal cancer, we have found no evidence for either an increase in the rate of adenoma formation in APC +/-, p53 -/- animals,  or an increased rate of progression to malignancy compared with APC +/- p53 +/+ mice."
19005184_2009.ann,1," Tumors were graded for histology and immunostained for p53, adenomatous polyposis coli, beta-catenin, cyclooxygenase-2 (Cox-2) and inducible nitric oxide synthase  (iNOS) and sequenced for p53 mutations."
17942462_2008.ann,1,A TRAMP/COX-2 knockout mouse model was also generated to determine the effects of the loss of the COX-2 gene on prostate tumorigenesis in TRAMP mice.
25516351_2014.ann,1,Aberrant methylation of the SPARC gene promoter and its clinical implication in gastric cancer.
15958644_2005.ann,1,Activation of p53-dependent apoptosis by acute ablation of glycogen synthase kinase-3beta in colorectal cancer cells.
17597105_2007.ann,1,Aldo-keto reductase family 1 B10 gene silencing results in growth inhibition of colorectal cancer cells: Implication for cancer intervention.
17906616_2007.ann,1,"Although incomplete intestinal metaplasia morphologically resembles  colon, its CDX2 expression was apparently lower than that in the normal colon."
21062980_2010.ann,1,Analysis of a colorectal cancer patient cohort establishes that HNF4alpha is significantly upregulated compared with adjacent normal epithelial resections.
19887544_2009.ann,1,Animal breast and colon tumor therapy studies showed that 15-PGDH gene therapy produced a significant delay in 2LMP and LS174T tumor growth.
24931456_2014.ann,1,Antagonism of miR-221 and miR-222 reduces growth of colon tumors in mice with colitis.
18852136_2008.ann,1,Antisense oligodeoxynucleotides to human superoxide dismutase 2 and/or ectopic bcl-2 overexpression avoided polyphenols and chemoradiotherapy-induced colorectal cancer elimination and showed that the mangano-type superoxide dismutase and Bcl-2 are key targets in the molecular mechanism activated by the combined application of t-PTER and QUER.
17906616_2007.ann,1,"As incomplete intestinal metaplasia is associated with higher risk of gastric cancer, its lower CDX2 expression compared with that in complete intestinal metaplasia and normal colon epithelium resolved  the current contradiction between the tumor-suppressive role of CDX2 in the colon and the high prevalence of CDX2 in intestinal metaplasia."
17906616_2007.ann,1,"As incomplete intestinal metaplasia is associated with higher risk of gastric cancer, its lower CDX2 expression compared with that in complete intestinal metaplasia and normal colon epithelium resolved  the current contradiction between the tumor-suppressive role of CDX2 in the colon and the high prevalence of CDX2 in intestinal metaplasia."
21464044_2011.ann,1,"As key molecules that drive progression and chemoresistance in gastrointestinal cancers, epidermal growth factor receptor (EGFR) and HER2 have become efficacious drug targets in this setting."
17404573_2007.ann,1,"Beta-catenin/T-cell factor (Tcf) signaling is constitutively active in the majority of human colorectal cancers, and there are accompanying changes in Bcl-2 expression."
17906616_2007.ann,1,"CDX2 expression is progressively decreased in human gastric intestinal metaplasia, dysplasia and cancer."
17906616_2007.ann,1,"CDX2 expression is progressively decreased in human gastric intestinal metaplasia, dysplasia and cancer. Intestinal metaplasia is a key event in multistep gastric carcinogenesis."
17906616_2007.ann,1,"CDX2 expression was significantly decreased in incomplete intestinal metaplasia, which expresses both gastric mucins (MUC5AC and MUC6) and intestinal mucin (MUC2), compared with complete intestinal metaplasia, which expresses intestinal mucin (MUC2) only."
11875002_2002.ann,1,"Cdx2 induces differentiation of intestinal epithelial cells in vitro; therefore, we sought to establish whether a causal relationship exists between Cdx2 activation and intestinal metaplasia."
9704932_1998.ann,1,"CDX2, a human homologue of Drosophila caudal, is mutated in both alleles in a replication error positive colorectal cancer."
17906616_2007.ann,1,"CDX2, a master regulator of intestinal phenotype, was shown to play a tumor-suppressive role in colon cancer."
11875002_2002.ann,1,CONCLUSIONS: Gastric expression of Cdx2 alone was sufficient to induce intestinal metaplasia in mice.
24931456_2014.ann,1,"CONCLUSIONS: In human CRC cells, miR-221 and miR-222 act in a positive feedback loop to increase expression levels of RelA and STAT3."
24931456_2014.ann,1,"CONCLUSIONS: In human CRC cells, miR-221 and miR-222 act in a positive feedback loop to increase expression levels of RelA and STAT3."
27639802_2017.ann,1,"CONCLUSIONS: In mice, fucosylation deficiency leads to colitis and adenocarcinoma, loss of Notch activation, and down-regulation of Hes1."
22986531_2013.ann,1,"Correlated patterns were observed between HNF4alpha and Cdx2 in several experimental models of human colon cancer cell lines: xenografts in nude mice, wound healing and glucose starvation."
22986531_2013.ann,1,"Correlated patterns were observed between HNF4alpha and Cdx2 in several experimental models of human colon cancer cell lines: xenografts in nude mice, wound healing and glucose starvation."
28356122_2017.ann,1,CRC patients with a decreased  level of miR-195-5p in tumor tissues had significantly shortened survival as revealed by the TCGA colon adenocarcinoma (COAD) dataset and our CRC cohort.
22986531_2013.ann,1,Crossing Apc(Delta14/+) mice prone to spontaneous intestinal tumor development with pCdx2-9LacZ transgenic mice containing the LacZ reporter under the control of the 9.3-kb Cdx2 promoter showed that this promoter segment contains sequences recapitulating the decrease of Cdx2 expression in intestinal cancers.
25491321_2014.ann,1,Downregulation of miR-610 promotes proliferation and tumorigenicity and activates Wnt/beta-catenin signaling in human hepatocellular carcinoma.
24885920_2014.ann,1,Ectopic expression of miR-139-5p in colon cancer cell lines significantly suppressed cell growth as evidenced by cell viability assay (P < 0.001) and colony formation assay (P < 0.01) and in xenograft tumor growth in nude mice (P < 0.01).
11521200_2001.ann,1,Expression of the gut-enriched Kruppel-like factor (Kruppel-like factor 4) gene in the human colon cancer cell line RKO is dependent on CDX2.
18627302_2008.ann,1,Expression of the KLK13 and KLK14 genes was examined at the mRNA and protein levels in a cohort of 57 patients with non-small-cell lung cancer (NSCLC).
18627302_2008.ann,1,Expression of the KLK13 and KLK14 genes was examined at the mRNA and protein levels in a cohort of 57 patients with non-small-cell lung cancer (NSCLC).
17906616_2007.ann,1,Further decrease of CDX2 expression in gastric dysplasia and cancer suggests that CDX2 plays a similar anticarcinogenic role in intestinal metaplasia as it does in colon.
15141379_2004.ann,1,"Furthermore, as high and uniform expression of CDX2 was characteristic of metastatic colorectal cancer, weak and/or focal CDX2 expression should alert surgical pathologists to the possibility of primary lung adenocarcinoma, especially in the presence of goblet cell morphology."
22986531_2013.ann,1,"Furthermore, Cdx2 decreased by knocking down HNF4alpha in human colon cancer cells using siRNA and in the colon of mice conditionally knocked out for the Hnf4alpha gene in the adult intestine (Hnf4alpha(f/f);VilCre(ERT2) mice)."
25501825_2014.ann,1,"Furthermore, stable overexpression using lentiviral vectors in NCI-H460 and A549 cells inhibited tumor xenograft growth in immunodeficient mice (95 and 50% reduction compared with control, respectively), whereas the effects of mir-660 overexpression were absent in H1299, a lung cancer cell line lacking p53 locus, both in in vitro and in vivo assays."
19147571_2009.ann,1,gamma-Secretase inhibitors abrogate oxaliplatin-induced activation of the Notch-1 signaling pathway in colon cancer cells resulting in enhanced chemosensitivity.
25030372_2014.ann,1,"Germline and  somatic mutations in BER genes, such as MutY Homolog (MUTYH/MYH) and DNA-directed polymerase (POLB), are associated with increased risk of colorectal cancer."
25321483_2014.ann,1,HDAC8 and STAT3 repress BMF gene activity in colon cancer cells.
22986531_2013.ann,1,Here we have studied the role of HNF4alpha in the mechanism of deregulation of Cdx2 in colon cancers.
27132515_2016.ann,1,"Here we investigated the role of Bcl-3 in azoxymethane/dextran sulfate sodium (AOM/DSS)-induced colon tumors, a mouse model for colitis-associated colorectal cancers in humans."
27132515_2016.ann,1,"Here we investigated the role of Bcl-3 in azoxymethane/dextran sulfate sodium (AOM/DSS)-induced colon tumors, a mouse model for colitis-associated colorectal cancers in humans."
18790750_2008.ann,1,"Here, we investigated the cell death signaling mechanisms induced by PGG  in human prostate cancer cells of different p53 functional status."
23934188_2014.ann,1,"Here, we report the inversely related expression of miR-137 and CAR in parental and doxorubicin-resistant neuroblastoma cells, wherein miR-137 is downregulated in resistant cells."
22851508_2012.ann,1,"Herein, we show NANOG is expressed from both NANOG1 and NANOGP8 in human colorectal cancers (CRC)."
